RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
54,James O'Shaughnessy (CHI) ,28,38,262,9.4,26,0,0,0,0,0,0,15,26.2,1.7,0.2%
55,Foster Moreau (LV) ,7,9,140,20.0,47,0,2,0,0,0,0,16,26.0,1.6,0.8%
56,Tyler Conklin (NYJ) ,19,26,194,10.2,30,0,1,0,0,0,0,16,25.4,1.6,1.9%
57,Jesse James (FA) ,14,22,129,9.2,31,0,2,0,0,0,0,16,24.9,1.6,0.0%
58,Nick Boyle (BAL) ,14,17,113,8.1,21,0,2,0,0,0,0,9,23.3,2.6,0.1%
59,Adam Trautman (NO) ,15,16,171,11.4,41,0,1,0,0,0,0,15,23.1,1.5,2.1%
60,Ian Thomas (CAR) ,20,31,145,7.3,21,0,1,0,0,0,0,16,20.5,1.3,0.2%
61,Jason Witten (FA) ,13,17,69,5.3,15,0,2,0,0,0,0,16,18.9,1.2,0.0%
62,Albert Okwuegbunam (DEN) ,11,15,121,11.0,27,0,1,0,0,0,0,4,18.1,4.5,46.7%
63,Ryan Izzo (FA) ,13,20,199,15.3,50,0,0,0,0,0,1,12,17.9,1.5,0.0%
64,Jace Sternberger (PIT) ,12,15,114,9.5,27,0,1,0,0,0,0,12,17.4,1.5,0.1%
65,MyCole Pruitt (FA) ,5,8,49,9.8,22,0,2,0,0,0,0,11,16.9,1.5,0.0%
66,Maxx Williams (ARI) ,8,10,102,12.8,42,0,1,0,0,0,0,9,16.2,1.8,0.1%
67,Nick Vannett (NO) ,14,21,95,6.8,19,0,1,0,0,0,0,15,15.5,1.0,0.1%
68,Lee Smith (FA) ,4,6,35,8.8,27,0,2,0,0,0,0,10,15.5,1.6,0.0%
69,Darrell Daniels (FA) ,8,11,92,11.5,31,0,1,0,0,0,0,12,15.2,1.3,0.0%
70,C.J. Uzomah (NYJ) ,8,11,87,10.9,23,0,1,0,0,0,0,2,14.7,7.4,3.9%
71,Geoff Swaim (TEN) ,9,12,83,9.2,16,0,1,0,0,0,0,10,14.3,1.4,0.1%
72,Troy Fumagalli (SF) ,8,15,80,10.0,29,0,1,0,0,0,0,8,14.0,1.8,0.0%
73,Kaden Smith (FA) ,18,21,112,6.2,16,0,0,0,0,0,0,15,11.2,0.7,0.0%
74,Blake Bell (KC) ,11,15,110,10.0,24,0,0,1,2,0,0,16,11.2,0.7,0.1%
75,Virgil Green (FA) ,3,6,50,16.7,26,0,1,0,0,0,0,6,11.0,1.8,0.0%
76,Stephen Anderson (ARI) ,8,11,106,13.3,23,0,0,0,0,0,0,16,10.6,0.7,0.0%
77,Josh Hill (FA) ,8,10,46,5.8,16,0,1,0,0,0,0,14,10.6,0.8,0.0%
78,Devin Asiasi (NE) ,2,7,39,19.5,26,0,1,0,0,0,0,8,9.9,1.2,0.0%
79,Vance McDonald (FA) ,15,20,99,6.6,15,0,0,0,0,0,0,14,9.9,0.7,0.0%
80,Dominique Dafney (GB) ,2,2,26,13.0,13,0,1,0,0,0,0,5,8.6,1.7,0.0%
81,Ryan Griffin (CHI) ,9,12,86,9.6,23,0,0,0,0,0,0,15,8.6,0.6,0.1%
82,Colin Thompson (CAR) ,1,2,7,7.0,7,0,1,0,0,0,0,15,6.7,0.4,0.0%
83,Jason Croom (FA) ,1,1,3,3.0,3,0,1,0,0,0,0,4,6.3,1.6,0.0%
84,Jordan Thomas (FA) ,1,2,3,3.0,3,0,1,0,0,0,0,6,6.3,1.1,0.0%
85,Luke Stocker (FA) ,7,11,63,9.0,25,0,0,0,0,0,0,16,6.3,0.4,0.0%
86,Cethan Carter (MIA) ,5,7,53,10.6,24,0,0,0,0,0,0,15,5.3,0.4,0.0%
87,Johnny Mundt (MIN) ,4,4,53,13.3,34,0,0,0,0,0,0,16,5.3,0.3,0.1%
88,Chris Manhertz (JAC) ,6,8,52,8.7,17,0,0,0,0,0,0,16,5.2,0.3,0.0%
89,Levine Toilolo (FA) ,5,6,46,9.2,14,0,0,0,0,0,0,16,4.6,0.3,0.0%
90,Demetrius Harris (FA) ,7,14,45,6.4,9,0,0,0,0,0,0,15,4.5,0.3,0.0%
91,Hunter Bryant (FA) ,1,3,44,44.0,44,0,0,0,0,0,0,5,4.4,0.9,0.0%
92,Nick Keizer (FA) ,6,10,63,10.5,22,0,0,0,0,0,1,16,4.3,0.3,0.0%
93,Tanner Hudson (SF) ,3,7,41,13.7,20,0,0,0,0,0,0,11,4.1,0.4,0.0%
94,Charlie Woerner (SF) ,3,4,36,12.0,18,0,0,0,0,0,0,14,3.6,0.3,0.0%
95,Deon Yelder (ARI) ,7,11,36,5.1,12,0,0,0,0,0,0,14,3.6,0.3,0.0%
96,Kahale Warring (FA) ,3,7,35,11.7,23,0,0,0,0,0,0,7,3.5,0.5,0.0%
97,Daniel Brown (FA) ,2,2,31,15.5,18,0,0,0,0,0,0,16,3.1,0.2,0.0%
98,Stephen Carlson (FA) ,1,2,11,11.0,11,0,0,0,0,0,0,16,3.1,0.2,0.0%
99,Ben Ellefson (MIN) ,1,4,10,10.0,10,0,0,0,0,0,0,7,3.0,0.4,0.1%
100,Jaeden Graham (FA) ,3,5,25,8.3,11,0,0,0,0,0,0,16,2.5,0.2,0.0%
101,Dalton Keene (NE) ,3,5,16,5.3,8,0,0,0,0,0,0,6,1.6,0.3,0.0%
102,Colby Parkinson (SEA) ,2,2,16,8.0,10,0,0,0,0,0,0,6,1.6,0.3,0.0%
103,Eric Saubert (DEN) ,3,4,16,5.3,9,0,0,0,0,0,0,8,1.6,0.2,0.0%
104,Derek Carrier (FA) ,1,1,14,14.0,14,0,0,0,0,0,0,16,1.4,0.1,0.0%
105,Blake Jarwin (FA) ,1,1,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,2.1%
106,Luke Willson (FA) ,1,3,12,12.0,12,0,0,0,0,0,0,8,1.2,0.2,0.0%
107,Josiah Deguara (GB) ,1,2,12,12.0,12,0,0,0,0,0,0,2,1.2,0.6,0.2%
108,Temarrick Hemingway (FA) ,1,2,10,10.0,10,0,0,0,0,0,0,8,1.0,0.1,0.0%
109,Jeremy Sprinkle (DAL) ,1,3,6,6.0,6,0,0,0,0,0,0,16,0.6,0.0,0.1%
110,Brandon Dillon (NO) ,1,1,6,6.0,6,0,0,0,0,0,0,3,0.6,0.2,0.0%
111,Jake Butt (FA) ,2,4,5,2.5,5,0,0,0,0,0,0,5,0.5,0.1,0.1%
112,Trevon Wesco (NYJ) ,1,2,5,5.0,5,0,0,1,0,0,0,12,0.5,0.0,0.0%
113,Isaac Nauta (FA) ,1,2,3,3.0,3,0,0,0,0,0,0,7,0.3,0.0,0.0%
114,Marcus Baugh (FA) ,1,1,2,2.0,2,0,0,0,0,0,0,8,0.2,0.0,0.0%
115,Bruce Miller (FA) ,1,2,2,2.0,2,0,0,0,0,0,0,8,0.2,0.0,0.0%
116,Farrod Green (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
117,Jake Bargas (MIN) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
118,Caleb Wilson (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
119,J.J. Arcega-Whiteside (PHI) ,4,8,85,21.3,37,0,0,0,0,0,0,8,0.0,0.0,0.1%
120,Daniel Helm (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
121,Zach Gentry (PIT) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%
122,Andrew Beck (DEN) ,0,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%
123,Hale Hentges (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
124,John Lovett (MIA) ,0,0,0,0,0,0,0,3,6,0,0,8,0.0,0.0,0.0%
125,Nate Becker (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
126,Hakeem Butler (FA) ,0,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
127,Kevin Rader (PIT) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
128,Stephen Sullivan (CAR) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
129,Juwan Johnson (NO) ,4,10,39,9.8,19,0,0,0,0,0,0,7,0.0,0.0,0.1%
130,Noah Togiai (PHI) ,0,1,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
131,Lawrence Cager (NYJ) ,2,6,35,17.5,19,0,0,0,0,0,0,2,0.0,0.0,0.0%
132,Sean McKeon (DAL) ,0,0,0,0,0,0,0,0,0,0,0,14,0.0,0.0,0.1%
133,Tyler Davis (GB) ,0,2,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
134,Tommy Stevens (FA) ,0,0,0,0,0,0,0,4,24,0,0,1,0.0,0.0,0.0%
135,Reggie Gilliam (BUF) ,2,2,16,8.0,15,0,1,0,0,0,0,14,0.0,0.0,0.0%
136,Rashod Berry (JAC) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,12.0%
137,Antonio Gandy-Golden (WAS) ,1,7,3,3.0,3,0,0,1,22,0,0,6,0.0,0.0,0.1%
138,Matt Sokol (NE) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
139,Chris Myarick (NYG) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
140,Brycen Hopkins (LAR) ,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.1%
141,Jordan Matthews (SF) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
142,Clark Harris (CIN) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
143,J.P. Holtz (NO) ,0,1,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
144,Zach Wood (NO) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
145,Seth DeValve (FA) ,0,1,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
146,Ross Travis (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
147,Beau Brinkley (ATL) ,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.2%
148,James Winchester (KC) ,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
149,Tyler Ott (SEA) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
150,Patrick Scales (CHI) ,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
151,Andrew DePaola (MIN) ,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
152,Jeff Driskel (HOU) ,0,0,0,0,0,0,0,6,28,0,0,3,0.0,0.0,0.0%
153,Garrett Griffin (DET) ,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
154,Taysom Hill (NO) ,8,13,98,12.3,21,0,1,87,457,8,5,16,0.0,0.0,2.3%
155,Antony Auclair (HOU) ,0,1,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
156,Mason Schreck (HOU) ,0,1,0,0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%
157,Ricky Seals-Jones (NYG) ,0,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.7%
158,Evan Baylis (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
159,Sean Culkin (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
160,Eric Tomlinson (DEN) ,0,1,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
161,Kyle Nelson (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
